Key	Czech (CS)	English (EN)	German (DE)	Source	Notes
whistleblower.noRetaliation.content	Na závěr zdůrazňujeme, že je plně respektován a dodržován zákaz odvetných opatření vůči oznamovatelům.	Finally, we emphasize that the prohibition of retaliation against whistleblowers is fully respected and adhered to.	Abschließend möchten wir betonen, dass das Verbot von Vergeltungsmaßnahmen gegen Hinweisgeber uneingeschränkt respektiert und eingehalten wird.	i18nexus	
whistleblower.noRetaliation.title	Zákaz odvetných opatření	Prohibition of retaliation	Verbot von Vergeltungsmaßnahmen	i18nexus	
whistleblower.violations.intro	Za důvody pro oznámení se považují například:	Reasons for notification include, for example:	Gründe für eine Benachrichtigung sind beispielsweise:	i18nexus	
whistleblower.violations.list1	trestné činy (např. krádež, podvod) nebo přestupky	crimes (e.g. theft, fraud) or misdemeanors	Straftaten (z. B. Diebstahl, Betrug) oder Vergehen	i18nexus	
whistleblower.violations.list2	porušení vnitřních zásad či postupů naší společnosti	Violation of our company's internal policies or procedures	Verstoß gegen die internen Richtlinien oder Verfahren unseres Unternehmens.	i18nexus	
whistleblower.violations.list3	šikana, obtěžování, diskriminace či zneužívání návykových látek	bullying, harassment, discrimination or substance abuse	Mobbing, Belästigung, Diskriminierung oder Drogenmissbrauch	i18nexus	
whistleblower.violations.list4	porušení pravidel týkajících se ochrany soukromí, osobních údajů nebo bezpečnosti IT systémů	violation of rules regarding the protection of privacy, personal data or the security of IT systems	Verstöße gegen Regeln zum Schutz der Privatsphäre, personenbezogener Daten oder der Sicherheit von IT-Systemen	i18nexus	
whistleblower.violations.list5	ohrožení zdraví či bezpečnosti osob	threat to the health or safety of persons	Gefahr für die Gesundheit oder Sicherheit von Personen	i18nexus	
whistleblower.violations.list6	poškození životního prostředí	environmental damage	Umweltschäden	i18nexus	
whistleblower.violations.list7	nedodržení zákonných povinností	failure to comply with legal obligations	Nichteinhaltung rechtlicher Verpflichtungen	i18nexus	
whistleblower.violations.list8	pokusy o utajení či potlačení informací týkajících se výše uvedeného	attempts to conceal or suppress information relating to the above	Versuche, Informationen im Zusammenhang mit dem oben Genannten zu verbergen oder zu unterdrücken	i18nexus	
whistleblower.violations.title	Co je považováno za protiprávní či neetické chování?	What is considered illegal or unethical behavior?	Was gilt als illegales oder unethisches Verhalten?	i18nexus	
whistleblower.whatIs.content	Whistleblowing představuje způsob, jakým můžete naší společnosti oznámit porušení nebo hrozící porušení právního předpisu, jakož i nekalé či neetické jednání ze strany:	Whistleblowing is a way for you to report to our company a violation or threatened violation of the law, as well as unfair or unethical behavior by:	Whistleblowing ist eine Möglichkeit für Sie, unserem Unternehmen einen Verstoß oder drohenden Verstoß gegen das Gesetz sowie unfaire oder unethische Verhaltensweisen zu melden, indem Sie:	i18nexus	
whistleblower.whatIs.list1	zaměstnanců naší kanceláře,	our office employees,	unsere Büroangestellten	i18nexus	
whistleblower.whatIs.list2	spolupracujících osob.	cooperating persons.	kooperierende Personen.	i18nexus	
whistleblower.whatIs.priority	Naší prioritou je, aby všichni, kteří se podílejí na činnosti naší společnosti a poskytování služeb klientům, jednali v souladu s právními předpisy, morálními zásadami a profesním etickým kodexem. Jakékoli jednání v rozporu s těmito principy je nepřípustné. Oznámení může v souladu se zákonem podat jakákoli osoba, která je k tomu oprávněna.	Our priority is that everyone involved in our company's activities and the provision of services to clients acts in accordance with legal regulations, moral principles and the professional code of ethics. Any action contrary to these principles is unacceptable. Any person authorized to do so may file a report in accordance with the law.	Unser oberstes Ziel ist es, dass alle an den Aktivitäten unseres Unternehmens und der Erbringung von Dienstleistungen für unsere Kunden Beteiligten im Einklang mit den gesetzlichen Bestimmungen, den ethischen Grundsätzen und dem Berufsrecht handeln. Jegliches Handeln, das diesen Grundsätzen widerspricht, ist inakzeptabel. Jede dazu befugte Person kann gemäß den gesetzlichen Bestimmungen eine Meldung erstatten.	i18nexus	
whistleblower.whatIs.title	Co je whistleblowing	What is whistleblowing?	Was versteht man unter Whistleblowing?	i18nexus	
